"name" "type" "expected_age" "hdi_95" "lower_95_hdr" "upper_95_hdr" "agreement" "overall_agreement" "model_agreement" "modelname"
"499" "date" -7982.01814414178 590 -8254.5 -7664.5 97 NA NA "n_italy_meso"
"517" "date" -4937.45294482578 485 -5204.5 -4719.5 97.2 NA NA "n_italy_meso"
"518" "date" -5128.5105627721 465 -5319.5 -4854.5 100.6 NA NA "n_italy_meso"
"519" "date" -5168.9956751947 415 -5364.5 -4949.5 100.2 NA NA "n_italy_meso"
"520" "date" -5168.86899922946 415 -5364.5 -4949.5 100.1 NA NA "n_italy_meso"
"521" "date" -5356.68681141767 405 -5529.5 -5124.5 101.4 NA NA "n_italy_meso"
"522" "date" -5383.10559430548 330 -5544.5 -5214.5 101 NA NA "n_italy_meso"
"525" "date" -5960.62570786703 460 -6209.5 -5749.5 100.3 NA NA "n_italy_meso"
"532" "date" -6296.49847279954 350 -6439.5 -6089.5 100.9 NA NA "n_italy_meso"
"533" "date" -7282.03553385542 420 -7489.5 -7069.5 100.1 NA NA "n_italy_meso"
